LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
1 - Lee J. Haywood - 1 [likes=3, dislikes=0, completion=0.847736625514403, like_ratio=1.0, like_rate=0.0123456790123457, tedium=3.2]	SOLVED	DDlUdrrdrruuLLrrdLulD	9.64279	8	21	28	34	680	178	36	91	20	5.23529	1.55394	18.8889	28	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
27 - Lee J. Haywood - 2 [likes=2, dislikes=0, completion=0.0580645161290323, like_ratio=1.0, like_rate=0.0064516129032258, tedium=9.33333333333333]	SOLVED	DDuurrrDLullddlddrrrruUdLdllluuruulDrdDldRuuuurrdDuLrdrddlULrU	21.1676	15	62	539	1161	27864	2454	2162	2378	24	2.1137	1.60074	12.8881	539	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Lee J. Haywood - 3 [likes=3, dislikes=0, completion=0.591489361702128, like_ratio=1.0, like_rate=0.0127659574468085, tedium=7.25]	SOLVED	ruLulldRRdrruuLLdRllluurDldRR	11.6985	10	29	44	69	1104	108	55	140	16	1.56522	1.52716	20.0727	44	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Razorflame - 4 [likes=8, dislikes=0, completion=0.833948339483395, like_ratio=1.0, like_rate=0.029520295202952, tedium=7.57142857142857]	SOLVED	uLLuLrdrDululDLDlddrruUdLurUddlLuluuurrDRdrUUdllDLrrdLdlUlUUddrddlUU	26.3735	24	68	638	1235	34580	2880	2276	2724	28	2.33198	1.3453	15.1933	638	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Razorflame - 5 [likes=5, dislikes=0, completion=0.471774193548387, like_ratio=1.0, like_rate=0.0201612903225806, tedium=13.0]	SOLVED	RRurrddLUruuuulldRurDDDDlluRUddlldRuururuulllldRurrrddlUruLLLdRurrddlUlulLdrrrruLLLdrrdddrUUU	27.6874	27	93	1125	2457	49140	3898	3390	3223	20	1.58649	1.33527	14.4956	1125	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Razorflame - 6 [likes=5, dislikes=0, completion=0.705179282868526, like_ratio=1.0, like_rate=0.0199203187250996, tedium=11.6666666666667]	SOLVED	RRuurrrdLDuullddRDuUddDldLurrRdLuuuurrdLDlddrUUUddllldRRuuUrruulLrrddlULuRlLLrrddlUruL	46.2159	28	86	1424	3349	80376	5925	7168	4767	24	1.76918	1.33626	11.2132	1424	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
32 - Monry - 7 [likes=6, dislikes=0, completion=0.762135922330097, like_ratio=1.0, like_rate=0.029126213592233, tedium=12.6666666666667]	SOLVED	ulllDurrrdddlluUluRdddrruuLrddlluUddlUU	8.34786	8	39	20	25	300	32	18	31	12	1.28	1.49535	16.6667	20	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Monry - 8 [likes=7, dislikes=0, completion=0.774774774774775, like_ratio=1.0, like_rate=0.0315315315315315, tedium=31.5]	SOLVED	llluurrUUddllddrrrrrruullUdrrddlllllluurruulluurrDDrRddrrddlllllluurrUdllddrrrrrruulluulL	8.73076	9	89	24	38	304	70	11	29	8	1.84211	1.49807	27.6364	24	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
22 - Monry - 9 [likes=6, dislikes=0, completion=0.765765765765766, like_ratio=1.0, like_rate=0.027027027027027, tedium=53.5]	SOLVED	rrrdddrdrruLLLuuuurrrddlDuruulldlddllddrUluRdrUUddrdrruLLruuruulldLurrrddlddlLuuuLrddllddrUluRdrUUddrruuruulllldRullldR	9.63258	20	119	72	87	696	154	95	90	8	1.77011	1.25019	7.32632	72	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
37 - Monry - 10 [likes=4, dislikes=0, completion=0.588932806324111, like_ratio=1.0, like_rate=0.0158102766798419, tedium=18.6666666666667]	SOLVED	luluurRllddrRRllluurrDuRllldddrrruLuururrdLLLdddrrUUdlluururrdLdddlllluRdrUU	14.5355	16	76	263	548	6576	821	838	533	12	1.49818	1.48311	7.84726	263	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
