board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"########
#    ###
# #$ ###
# $@   #
## .#$.#
### # ##
##. ####
########",8,8,3,0,"easy_negative",8392656686389512002
"###########
#   . .####
# ##$#$$. #
# ## $$$$@#
#####.# $ #
#  ####. ##
#   . ..###
###########",11,8,8,0,"easy_negative",9159419315207670715
"########
# .    #
####$# #
#  $ $ #
#.##..##
# ##$@##
#     ##
########",8,8,4,0,"easy_negative",16506768162787370618
"########
####   #
##  $$.#
#  . . #
# ######
# ##   #
#..$$  #
## ## ##
#  $.$ #
##@## ##
########",8,11,6,0,"easy_negative",8300508821130942125
"########
#. # ###
# $# ###
#.$# . #
# $$.# #
# #$####
#.$$ # #
#@  ##.#
# #$# .#
#  .   #
########",8,11,8,0,"easy_negative",17795661937822743626
"###########
#..### # .#
#  ##  #$ #
#. ##$$#@ #
##   $$$$.#
###$## ####
##. ##  ..#
###########",11,8,8,0,"easy_negative",10673465887736803559
"########
###.  ##
###$$ ##
#. .$ ##
# . ####
###$$$ #
###.. @#
########",8,8,6,0,"easy_negative",9571142470719720346
"########
#      #
#.##$###
# ##.###
####  ##
## # ###
# $#. ##
#  $  @#
#.$$ #.#
#   ####
########",8,11,5,0,"easy_negative",11108834262262819401
"###########
#    #  ###
#.#$###$###
#  $ #    #
#  $##.#$ #
#.#@#. #  #
#      #. #
###########",11,8,5,0,"easy_negative",12081805252354803735
"########
## # ###
# $$ ###
##$#. .#
#   # ##
# #  $ #
#.  # ##
#  ##$##
#  #   #
#. ## ##
#  ##. #
#@ ##  #
#  ##  #
########",8,14,5,0,"easy_negative",4680442179147378358
"###########
#.   . ####
# ##$#. # #
#.##  $   #
### .## ###
##@$. # ###
# $$      #
#  #$ ##  #
## # #### #
###   ##  #
###########",11,11,6,0,"easy_negative",15302291095008527862
"########
# .    #
#@ $#  #
# $ ## #
##  #  #
##. ## #
## .#  #
#    $ #
# #$#  #
#  .####
########",8,11,4,1,"positive",3190272157800975519
"##############
####  #   ####
#  # .# #  # #
#  $ .#    $ #
#      .  # ##
# ## ## #    #
# ##.##   # ##
## # ##$##   #
#     #$ ### #
## #  #  @## #
##############",14,11,4,0,"easy_negative",13473608781193111733
"########
# .    #
#  $#  #
#@$ ## #
##  #  #
##. ## #
## .#  #
#    $ #
# #$#  #
#  .####
########",8,11,4,1,"positive",3190272157800975519
"########
# .    #
#  $#  #
#@  ## #
##  #  #
##. ## #
## .#  #
#  $ $ #
# #$#  #
#  .####
########",8,11,4,0,"hard_negative",3190272157800975519
"########
##  ####
## .   #
## .$$ #
# ###  #
# .##  #
#   #$ #
##@#.. #
#  $   #
##$# $ #
#   ## #
# #  # #
#.  ## #
########",8,14,6,0,"easy_negative",4614851768036080050
"########
# .    #
#  $#  #
# $ ## #
##  #  #
##. ## #
## .#  #
#    $ #
# #$#  #
#  +####
########",8,11,4,1,"positive",3190272157800975519
"########
# .    #
#  $#  #
#   ## #
## $#  #
##. ## #
## .#  #
#    $ #
# #$#  #
#  +####
########",8,11,4,0,"hard_negative",3190272157800975519
"########
# .    #
#  $#  #
# $ ## #
##  #  #
##+ ## #
## .#  #
#    $ #
# #$#  #
#  .####
########",8,11,4,1,"positive",3190272157800975519
"########
# .    #
#  $# .#
# $ ## #
##  #  #
##@ ## #
## .#  #
#    $ #
# #$#  #
#  .####
########",8,11,4,1,"positive",3190272157800975519
"##############
####   #    ##
#.# $ ###  .##
#    ### $  ##
##$#.  ## #  #
#   #### ##  #
##$#     ##  #
#  @ ## ## $ #
# #  #  ####.#
#   .##$ .## #
#   #   #    #
# ###  ### # #
# ####  #    #
##############",14,14,6,0,"easy_negative",1793311455217373636
"###########
##.#.  ## #
# .$   #  #
## #      #
#. # ###  #
#  #$ ### #
#  # $ # .#
#  # #    #
## #### ###
###  #  ###
## $ $ # ##
## $##. @ #
### ## # ##
###########",11,14,6,0,"easy_negative",6835284066915500457
"##############
### ###    ###
###  # .#  ###
#   $ $$  $  #
#. #.$#      #
# $## # # ####
#  ####.     #
# . #####    #
# ##.  #   ###
#@##       ###
##############",14,11,6,0,"easy_negative",859219594077250426
"########
# . .  #
# $  $ #
#  $####
##$ # ##
##.  .@#
##  # ##
########",8,8,4,1,"positive",6640776946411693530
"########
# .    #
# $. $ #
#  $####
##$ # ##
##.  .@#
##  # ##
########",8,8,4,1,"positive",6640776946411693530
"########
###    #
###$$..#
#@ $####
## $.###
### $ ##
## $##.#
#    # #
#### # #
# .$.# #
# ## $ #
#  # ###
# .#.###
########",8,14,8,0,"easy_negative",1805297232097333900
"########
# .    #
# $. $@#
#  $####
##$ # ##
##.  . #
##  # ##
########",8,8,4,1,"positive",6640776946411693530
