LevelName	Status	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealAvg	PathBranchingEffectiveAvg
1 - Lee J. Haywood - 1 [likes=3, dislikes=0, completion=0.847736625514403, like_ratio=1.0, like_rate=0.0123456790123457, tedium=3.2]	SOLVED	10.882	8	34	38	48	960	246	53	82	20	5.125	1.62239	18.1132	0	0	0	0.0	0.0
27 - Lee J. Haywood - 2 [likes=2, dislikes=0, completion=0.0580645161290323, like_ratio=1.0, like_rate=0.0064516129032258, tedium=9.33333333333333]	SOLVED	21.8183	15	58	415	789	18936	2141	1156	1312	24	2.71356	1.56005	16.3806	0	0	0	0.0	0.0
4 - Lee J. Haywood - 3 [likes=3, dislikes=0, completion=0.591489361702128, like_ratio=1.0, like_rate=0.0127659574468085, tedium=7.25]	SOLVED	11.8274	10	29	43	63	1008	104	52	119	16	1.65079	1.51333	19.3846	0	0	0	0.0	0.0
1 - Razorflame - 4 [likes=8, dislikes=0, completion=0.833948339483395, like_ratio=1.0, like_rate=0.029520295202952, tedium=7.57142857142857]	SOLVED	22.1735	24	96	607	1243	34804	3143	2366	2119	28	2.52856	1.34566	14.7101	0	0	0	0.0	0.0
2 - Razorflame - 5 [likes=5, dislikes=0, completion=0.471774193548387, like_ratio=1.0, like_rate=0.0201612903225806, tedium=13.0]	SOLVED	23.6758	27	83	1180	2376	47520	4410	3084	2399	20	1.85606	1.33362	15.4086	0	0	0	0.0	0.0
4 - Razorflame - 6 [likes=5, dislikes=0, completion=0.705179282868526, like_ratio=1.0, like_rate=0.0199203187250996, tedium=11.6666666666667]	SOLVED	38.0639	28	102	1333	3250	78000	6224	6845	4447	24	1.91508	1.33483	11.3952	0	0	0	0.0	0.0
32 - Monry - 7 [likes=6, dislikes=0, completion=0.762135922330097, like_ratio=1.0, like_rate=0.029126213592233, tedium=12.6666666666667]	SOLVED	8.23259	8	38	18	21	252	34	14	22	12	1.61905	1.46311	18	0	0	0	0.0	0.0
12 - Monry - 8 [likes=7, dislikes=0, completion=0.774774774774775, like_ratio=1.0, like_rate=0.0315315315315315, tedium=31.5]	SOLVED	8.62869	9	71	27	46	368	79	14	32	8	1.71739	1.53021	26.2857	0	0	0	0.0	0.0
22 - Monry - 9 [likes=6, dislikes=0, completion=0.765765765765766, like_ratio=1.0, like_rate=0.027027027027027, tedium=53.5]	SOLVED	9.22608	20	119	83	136	1088	198	185	153	8	1.45588	1.27843	5.88108	0	0	0	0.0	0.0
37 - Monry - 10 [likes=4, dislikes=0, completion=0.588932806324111, like_ratio=1.0, like_rate=0.0158102766798419, tedium=18.6666666666667]	SOLVED	12.8662	16	66	253	519	6228	735	802	496	12	1.41618	1.47808	7.76559	0	0	0	0.0	0.0
21 - Monry - 11 [likes=4, dislikes=0, completion=0.75107296137339, like_ratio=1.0, like_rate=0.0171673819742489, tedium=17.5]	SOLVED	8.28125	13	51	32	43	344	80	6	43	8	1.86047	1.33552	57.3333	0	0	0	0.0	0.0
72 - Marko Dzekic - 12 [likes=5, dislikes=0, completion=0.817813765182186, like_ratio=1.0, like_rate=0.0202429149797571, tedium=7.0]	SOLVED	8.52707	8	33	13	14	224	49	4	21	16	3.5	1.3908	56	0	0	0	0.0	0.0
