board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"########
#### ###
#  #$ ##
#      #
# @    #
### ####
### .  #
########",8,8,1,0,easy_negative,2914922635484072518
"########
# #   ##
# #  $##
# #  $##
#   # ##
# ## $@#
# ### ##
#. #   #
#. #.# #
#  #   #
########",8,11,3,0,easy_negative,13481662057330481918
"########
#.  ####
# #@   #
#      #
#    # #
# #  # #
#    # #
# $    #
# #### #
# #### #
########",8,11,1,0,easy_negative,11738805002570953296
"########
# #### #
# #### #
#   $  #
#.##$###
#.#. ###
# ##$$ #
#   $  #
### .# #
###$ $@#
#     .#
# #  # #
#..    #
########",8,14,7,0,easy_negative,17259298094978350838
"###########
#    ######
#  #  #  ##
# ##  $ ###
#    ##   #
#     # # #
#   ##    #
#####  # ##
#   #    @#
#   ## #.##
#      # ##
##        #
### #### ##
###########",11,14,1,0,easy_negative,1649792528895550780
"##############
#   ######## #
# #  #   ### #
####    @.   #
# ##### # # ##
# ##    #  ###
#       # # ##
### # ##     #
###  $ #   ###
#   # ##   ###
##############",14,11,1,0,easy_negative,13733805678793692227
"##############
## # ## # #  #
# $ @## # #. #
## #    # #  #
## #         #
#      #  ## #
## ######### #
#    ###     #
# #  ### #  ##
#      ### ###
##############",14,11,1,0,easy_negative,13270693676381832019
"##############
#   ##     ###
#@# #  #  #  #
#    $ ##.## #
#    #  ##   #
####$#   # # #
#   .#       #
##############",14,8,2,0,easy_negative,17856844702925114282
"##############
######.#.    #
## ### #   ###
## $  .#   ###
#    $  # @  #
### ######$###
###     #  ###
#### ##      #
#     #$$ ## #
#.   .    ## #
##############",14,11,5,0,easy_negative,16436960458917143462
"###########
#         #
###  ######
###  ## @ #
##. ###$ ##
##    #  ##
##       ##
###########",11,8,1,0,easy_negative,11963582274915401864
