board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"##############
# . # # ######
##    .$ #   #
### #.#$$@   #
#  $    ##   #
#.#$#   #. ###
#   ###$## ###
# ##.  $##   #
# ###   ##   #
#   ### .    #
##############",14,11,7,0,"easy_negative",6866802670233874789
"##############
####      # ##
## $ #@ #    #
#    . ####.##
### # # .    #
##.$ . $ $ $ #
##### #   ####
##############",14,8,5,1,"positive",3631471281515847856
"##############
####      # ##
## $ #@ #    #
# .  . #### ##
### # # .    #
##.$ . $ $ $ #
##### #   ####
##############",14,8,5,0,"hard_negative",3631471281515847856
"###########
# ### #.  #
#  #  . # #
# . # # $ #
#.      $ #
# ##@#  ###
# ##    ###
# $$     ##
# #  #  ###
#        ##
###########",11,11,4,0,"easy_negative",3846756499214879946
"########
#    .##
# ##.###
# ##$ ##
###  $.#
##.$ # #
# . $$ #
###$$  #
###.$#@#
#   .. #
########",8,11,8,0,"easy_negative",5182867201982583896
"##############
####      # ##
## $ #@ #    #
#    . ####.##
### # # .    #
## $ . $ $ $.#
##### #   ####
##############",14,8,5,0,"hard_negative",3631471281515847856
"##############
####      # ##
## $ #  #    #
#@   . ####.##
### # # .    #
##.$ . $ $ $ #
##### #   ####
##############",14,8,5,1,"positive",3631471281515847856
"###########
##### #   #
#  @$     #
#   # #####
## #.   $ #
#   #    ##
## ###. ###
#   ###$###
# $.    ###
#   .     #
###########",11,11,4,0,"easy_negative",5636237599442444611
"##############
####      # ##
##   #$ #    #
#@   . ####.##
### # # .    #
##.$ . $ $ $ #
##### #   ####
##############",14,8,5,0,"hard_negative",3631471281515847856
"##############
####      # ##
## $ #  #    #
#@   . ####.##
### # # .    #
##.$$. $ $   #
##### #   ####
##############",14,8,5,0,"hard_negative",3631471281515847856
