LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
1 - Lee J. Haywood - 1 [likes=3, dislikes=0, completion=0.847736625514403, like_ratio=1.0, like_rate=0.0123456790123457, tedium=3.2]	SOLVED	DrddrruuLrddlllluUrDrdrruulDrdLuuL	9.38666	8	34	38	48	960	246	53	82	20	5.125	1.62239	18.1132	38	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
27 - Lee J. Haywood - 2 [likes=2, dislikes=0, completion=0.0580645161290323, like_ratio=1.0, like_rate=0.0064516129032258, tedium=9.33333333333333]	SOLVED	DDuurrrDLullddlddrrrruUdLdllluurDldRuuuulDurrrdLrDrddlUUdL	15.5848	15	58	415	789	18936	2141	1156	1312	24	2.71356	1.56005	16.3806	415	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Lee J. Haywood - 3 [likes=3, dislikes=0, completion=0.591489361702128, like_ratio=1.0, like_rate=0.0127659574468085, tedium=7.25]	SOLVED	ruLulldRRdrruuLLdRllluurDldRR	8.11768	10	29	43	63	1008	104	52	119	16	1.65079	1.51333	19.3846	43	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Razorflame - 4 [likes=8, dislikes=0, completion=0.833948339483395, like_ratio=1.0, like_rate=0.029520295202952, tedium=7.57142857142857]	SOLVED	uLLuLDLDlddrruLrUllluuurrDDurrdrDulullulldddddrruruUluRdrUdllLdlUdddrUluuUdddrrUruLLrurrUddlddllU	20.8705	24	97	632	1273	35644	3299	2309	2401	28	2.59152	1.347	15.437	632	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Razorflame - 5 [likes=5, dislikes=0, completion=0.471774193548387, like_ratio=1.0, like_rate=0.0201612903225806, tedium=13.0]	SOLVED	RRurrddLUruuuulldRurDDDDllldRuuRUUruLLLLdRRurrddlUruLLdrdddrUUUlulL	29.6694	27	67	1272	3168	63360	5600	4492	3659	20	1.76768	1.3479	14.1051	1272	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Razorflame - 6 [likes=5, dislikes=0, completion=0.705179282868526, like_ratio=1.0, like_rate=0.0199203187250996, tedium=11.6666666666667]	SOLVED	RRurRDrUllldRDDldLurrRdLuuuurrdLDlddrUUUruLLrddlUUruLddddlldRRuuuuuLLrrddlUruL	36.8215	28	78	1386	3338	80112	6149	6932	4513	24	1.84212	1.3361	11.5568	1386	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
32 - Monry - 7 [likes=6, dislikes=0, completion=0.762135922330097, like_ratio=1.0, like_rate=0.029126213592233, tedium=12.6666666666667]	SOLVED	ulllDurrrdddlluUluRdddrruuLrddlllUUdrU	8.33512	8	38	18	21	252	34	14	22	12	1.61905	1.46311	18	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Monry - 8 [likes=7, dislikes=0, completion=0.774774774774775, like_ratio=1.0, like_rate=0.0315315315315315, tedium=31.5]	SOLVED	llluurrUUddllddrrrrrruullUdrrddlllllluurruulluurrDDrRddrrddlllllluurrUdllddrrrrrruulluulL	8.58931	9	89	24	38	304	70	11	29	8	1.84211	1.49807	27.6364	24	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
22 - Monry - 9 [likes=6, dislikes=0, completion=0.765765765765766, like_ratio=1.0, like_rate=0.027027027027027, tedium=53.5]	SOLVED	rrrdddrdrruLLLuuuurrrddlDuruulldlddllddrUluRdrUUddrdrruLLruuruulldLurrrddlddlLuuuLrddllddrUluRdrUUddrruuruulllldRullldR	9.4156	20	119	72	87	696	154	95	90	8	1.77011	1.25019	7.32632	72	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
37 - Monry - 10 [likes=4, dislikes=0, completion=0.588932806324111, like_ratio=1.0, like_rate=0.0158102766798419, tedium=18.6666666666667]	SOLVED	luRRllluurRDullddrRuuRurrdLLLdddrrUUddlluuururrdLddLdlUU	14.1864	16	56	269	521	6252	760	780	515	12	1.45873	1.47844	8.01538	269	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
21 - Monry - 11 [likes=4, dislikes=0, completion=0.75107296137339, like_ratio=1.0, like_rate=0.0171673819742489, tedium=17.5]	SOLVED	LdlUrrUdllUdrruruulDlLddrrUdlluurRllLrrrurDllllLulD	9.09833	13	51	32	43	344	80	6	43	8	1.86047	1.33552	57.3333	32	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
72 - Marko Dzekic - 12 [likes=5, dislikes=0, completion=0.817813765182186, like_ratio=1.0, like_rate=0.0202429149797571, tedium=7.0]	SOLVED	drrUdlluRuurrdDuulllDrdRlulDuurrD	9.97711	8	33	13	14	224	49	4	21	16	3.5	1.3908	56	13	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
25 - Marko Dzekic - 13 [likes=4, dislikes=0, completion=0.935344827586207, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.33333333333333]	SOLVED	LulDurrrDDL	8.39007	6	11	14	16	192	62	18	28	12	3.875	1.5874	10.6667	14	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
7 - Marko Dzekic - 14 [likes=3, dislikes=0, completion=0.930747922437673, like_ratio=1.0, like_rate=0.0083102493074792, tedium=5.0]	SOLVED	dddrUUddllluRUrrdLdlU	8.01282	7	21	12	12	144	44	7	31	12	3.66667	1.42616	20.5714	12	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
49 - Marko Dzekic - 15 [likes=3, dislikes=0, completion=0.80564263322884, like_ratio=1.0, like_rate=0.0094043887147335, tedium=7.5]	SOLVED	ullDurrdLddlluUddrruLdrrUllUddlUrrrU	8.65618	9	36	18	23	368	81	11	22	16	3.52174	1.41678	33.4545	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Marko Dzekic - 16 [likes=3, dislikes=0, completion=0.895454545454546, like_ratio=1.0, like_rate=0.0136363636363636, tedium=5.0]	SOLVED	uLLDlddrrrUdllUdrruUdLULrddlluR	8.43436	11	31	18	22	440	45	7	27	20	2.04545	1.32446	62.8571	18	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
204 - Marko Dzekic - 17 [likes=2, dislikes=0, completion=0.874458874458874, like_ratio=1.0, like_rate=0.0086580086580086, tedium=3.75]	SOLVED	ULulDuurrrdDlluR	8.0752	6	16	10	12	192	39	0	12	16	3.25	1.51309	0	10	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
39 - Marko Dzekic - 18 [likes=4, dislikes=0, completion=0.581081081081081, like_ratio=1.0, like_rate=0.018018018018018, tedium=9.5]	SOLVED	llldddrrrUdllluuurrDDrdLuuurDlddLruuullddR	8.90321	8	42	25	31	496	81	25	56	16	2.6129	1.5361	19.84	25	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
15 - Marko Dzekic - 19 [likes=4, dislikes=0, completion=0.862068965517241, like_ratio=1.0, like_rate=0.0172413793103448, tedium=3.25]	SOLVED	lluRUddrruULL	8.90848	6	13	22	26	416	77	11	45	16	2.96154	1.72119	37.8182	22	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
22 - Marko Dzekic - 20 [likes=4, dislikes=0, completion=0.801169590643275, like_ratio=1.0, like_rate=0.0116959064327485, tedium=6.33333333333333]	SOLVED	rdLulDrrrddllUdrruuullldRdRluurD	8.45067	7	32	16	16	192	58	13	45	12	3.625	1.48599	14.7692	16	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
20 - Marko Dzekic - 21 [likes=4, dislikes=0, completion=0.869369369369369, like_ratio=1.0, like_rate=0.018018018018018, tedium=5.33333333333333]	SOLVED	rdLuuulldRurrddlUddLruuruL	8.55449	6	26	9	9	108	44	5	13	12	4.88889	1.44225	21.6	9	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Marko Dzekic - 22 [likes=4, dislikes=1, completion=0.869888475836431, like_ratio=0.8, like_rate=0.0148698884758364, tedium=6.0]	SOLVED	ulldddrrUdrUUdlLrUddllUURR	9.22823	10	26	27	39	624	132	17	43	16	3.38462	1.44247	36.7059	27	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
27 - Marko Dzekic - 23 [likes=3, dislikes=0, completion=0.941391941391941, like_ratio=1.0, like_rate=0.010989010989011, tedium=4.66666666666667]	SOLVED	dllUdrruuurDlddlluUddrUrurDllluR	8.10913	7	32	16	17	204	74	11	23	12	4.35294	1.49892	18.5455	16	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
10 - Marko Dzekic - 24 [likes=4, dislikes=0, completion=0.888235294117647, like_ratio=1.0, like_rate=0.0117647058823529, tedium=3.75]	SOLVED	rrdDuurDDuullldRurrddlL	8.75305	6	23	10	10	160	47	6	9	16	4.7	1.4678	26.6667	10	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Thinking Rabbit - 25 [likes=5, dislikes=0, completion=0.891089108910891, like_ratio=1.0, like_rate=0.0247524752475248, tedium=15.25]	SOLVED	luuurrdLurrrrddddddlllluRRuurruuLullllldddrrRlluluurrrrrdrdddddlluRdrUUUUUlLullllddrUruLrrrdLLrrrrruLLLLdlLrruLdlddrrRRlddrruUUdllllluururrrrrdLLLLL	14.298	32	148	418	572	9152	2265	790	203	16	3.95979	1.21946	11.5848	418	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
5 - Thinking Rabbit - 26 [likes=6, dislikes=0, completion=0.826923076923077, like_ratio=1.0, like_rate=0.0288461538461538, tedium=5.75]	SOLVED	lllDlddRluurrdrUdlLurrruLddllddrrUdlluurD	9.14271	8	41	50	60	960	346	54	167	16	5.76667	1.66828	17.7778	50	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Thinking Rabbit - 27 [likes=10, dislikes=0, completion=0.5260663507109, like_ratio=1.0, like_rate=0.04739336492891, tedium=12.5]	SOLVED	lLLUlDrrruLdllulldRRRRuLLuurDlddlluRdrrddlUrururrdLL	13.1231	17	52	350	629	10064	1046	772	1166	16	1.66296	1.46092	13.0363	350	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
No. 01-01 - Thinking Rabbit - 28 [likes=4, dislikes=1, completion=0.592105263157895, like_ratio=0.8, like_rate=0.0087719298245614, tedium=23.3333333333333]	SOLVED	dDDllddrrUUUdlldRuruUluRRddldlddrUUUUdrrrrddllUdrruulLLulDDuuruRldlluRRddldlddrUUUruulldRdrU	9.62587	27	92	248	295	3540	363	86	215	12	1.23051	1.23445	41.1628	248	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
