LevelName	Status	LURD_Path	Runtime_ms	Pushes	Moves	GeneratedStates	ExpandedNodes	TotalChildren	EffectiveChildren	RepeatedNodes	Deadlocks	BranchingReal	BranchingEffective	BranchingClassic	Redundancy	ClosedListLength	PathStates	PathBoxLines	PathBoxChanges	PathBranchingRealTotalNodes	PathBranchingRealMin	PathBranchingRealMax	PathBranchingRealAvg	PathBranchingEffectiveTotalNodes	PathBranchingEffectiveMin	PathBranchingEffectiveMax	PathBranchingEffectiveAvg	PathTotalChildrenGenerated	PathRepeatedNodes	PathDeadlocks	PathRedundancy
1 - Lee J. Haywood - 1 [likes=3, dislikes=0, completion=0.847736625514403, like_ratio=1.0, like_rate=0.0123456790123457, tedium=3.2]	SOLVED	DrddrruLdllluUrDurDrruLL	10.0788	8	24	93	154	3080	568	261	292	20	3.68831	1.8769	11.8008	93	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
27 - Lee J. Haywood - 2 [likes=2, dislikes=0, completion=0.0580645161290323, like_ratio=1.0, like_rate=0.0064516129032258, tedium=9.33333333333333]	SOLVED	rrrDulllDurrrdLulldDlddrrrruUdLdllluuruurrdDuullddDuuulDrddldRuuuurrdLrdrddlULrU	37.4129	15	80	1276	3655	87720	7327	6040	7075	24	2.00465	1.72793	14.5232	1276	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Lee J. Haywood - 3 [likes=3, dislikes=0, completion=0.591489361702128, like_ratio=1.0, like_rate=0.0127659574468085, tedium=7.25]	SOLVED	ruLulldRRdrruuLLdlluurDrdRullldRR	14.0177	10	33	65	134	2144	226	118	241	16	1.68657	1.63196	18.1695	65	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
1 - Razorflame - 4 [likes=8, dislikes=0, completion=0.833948339483395, like_ratio=1.0, like_rate=0.029520295202952, tedium=7.57142857142857]	SOLVED	uLLuLDLDlddrruUllluuurrDulldddrrrdLurUdllluuurrdRddddllUruLdlUrrrurUdldlllUdrrruurUddldllluUddrrrurrDulullDrdLuLrddlU	467.741	24	117	5300	32587	912436	82394	111166	60299	28	2.52843	1.54185	8.20787	5300	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
2 - Razorflame - 5 [likes=5, dislikes=0, completion=0.471774193548387, like_ratio=1.0, like_rate=0.0201612903225806, tedium=13.0]	SOLVED	RRurrddLUruuuulldRurDDDuuulllldRurrdrddDlluRdlldRuurUUruLLLdRurrddlUlulLdrrrruLLdrdddrUUUlulL	91.1777	27	93	3699	11468	229360	12233	19816	14298	20	1.06671	1.41368	11.5745	3699	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
4 - Razorflame - 6 [likes=5, dislikes=0, completion=0.705179282868526, like_ratio=1.0, like_rate=0.0199203187250996, tedium=11.6666666666667]	SOLVED	RRurRDrUllldRDDRlldLurrrdLuuuurrdLDlUUruLLLrddrdddrUUluurrdLdlUUruLddddlldRRuuuuuL	146.666	28	82	3323	11080	265920	14482	30292	16429	24	1.30704	1.39459	8.77856	3323	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
32 - Monry - 7 [likes=6, dislikes=0, completion=0.762135922330097, like_ratio=1.0, like_rate=0.029126213592233, tedium=12.6666666666667]	SOLVED	ulllDurrrdddlluUluRdddlUUddrrruuLrddlluU	8.95458	8	40	27	36	432	45	24	38	12	1.25	1.56508	18	27	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
12 - Monry - 8 [likes=7, dislikes=0, completion=0.774774774774775, like_ratio=1.0, like_rate=0.0315315315315315, tedium=31.5]	SOLVED	llluurrUdllddrrrrrruullUUrruullDDlLddllddrrrrrruullUdrrddlllllluurruurR	9.23734	9	71	29	48	384	82	14	34	8	1.70833	1.53746	27.4286	29	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
22 - Monry - 9 [likes=6, dislikes=0, completion=0.765765765765766, like_ratio=1.0, like_rate=0.027027027027027, tedium=53.5]	SOLVED	rrrdddrdrruLLLuuuurrrddlDuruulldlddllddrUluRdrUUddrdrruLLruuruulldLurrrddlddlLuuuLrddllddrUluRdrUUddrruuruulllldRullldR	10.7373	20	119	84	137	1096	198	185	153	8	1.44526	1.2789	5.92432	84	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
37 - Monry - 10 [likes=4, dislikes=0, completion=0.588932806324111, like_ratio=1.0, like_rate=0.0158102766798419, tedium=18.6666666666667]	SOLVED	luluurRRurDlllldddrrruLUddlluuurRRurrdLLLddrrUdlluururrdLdddlllluRdrUU	19.2021	16	70	299	919	11028	1007	1583	1106	12	1.09576	1.53182	6.96652	299	0	0	0	0	0.0	0.0	0.0	0	0.0	0.0	0.0	0	0	0	0.0
