board_string,width,height,boxes,is_solvable,dataset_type,shell_hash
"###########
######    #
#  ###.   #
# @ .$ ####
##$###  ###
#.$.# #$ ##
##$# $# $##
# $  ..   #
#. .##  # #
#   ## ####
###########",11,11,8,0,"easy_negative",948839600773395561
"##############
#  ### ##    #
#.$### ## ## #
# $# $$  .## #
# . ##$ @$ $ #
# # # $ #.. ##
#. .   .  ####
##############",14,8,8,0,"easy_negative",5045215687083794842
"########
#   ##.#
#.$ #. #
#   #$ #
# # #  #
# # #  #
# # #$.#
#.## $ #
#  # $ #
#     @#
########",8,11,5,0,"easy_negative",1127876734913962171
"##############
###    # # # #
## .###   $#.#
## .# ##.# # #
#      #  $  #
##  $# #    ##
###    # $ ###
#  #.# $ ##  #
# ## #  #### #
#  # #   ##  #
# ## # ##    #
# @# # #   # #
#    #       #
##############",14,14,5,0,"easy_negative",4242379745656522867
"##############
#@   ##  # ###
#  $ ##  #.###
#### .$..#   #
#### ##$$. $ #
#  $$##  # # #
#  .    ##.  #
##############",14,8,7,0,"easy_negative",16244163282035534042
"########
# .   ##
### $ ##
###   ##
#   # ##
#  .####
#  $   #
##.#  ##
#   $$##
## #  ##
#   ## #
#.  ## #
# @    #
########",8,14,4,0,"easy_negative",13276969920628501224
"##############
#### ######.##
# .#.### $$$ #
# ##.. ##$#.##
# @.#$#  .   #
# #  $$ ##$###
#   # # ## ###
##############",14,8,8,0,"easy_negative",7646955374323278246
"###########
###  #    #
###  #  # #
#    #    #
####      #
##   #$####
###. . .  #
#   # #####
# # @ $   #
##### # $ #
#   ### $##
# #. $   ##
# .      ##
###########",11,14,5,0,"easy_negative",14291221564845555708
"###########
#   #@## ##
#   $ $   #
#####.## ##
#      ####
###. #  # #
###$ $    #
###$ . .# #
###  #$####
# .$    # #
# # # #   #
# #..   # #
# # # #####
###########",11,14,7,0,"easy_negative",9182036843826549162
"##############
#.           #
##@ $ #  # # #
###  ## ######
##      $ $  #
##   #  # $# #
##     ###   #
#   ###. .   #
#      # $# .#
#   .  ## ## #
##############",14,11,5,0,"easy_negative",4709547095813643512
"##############
#  @##  ######
# # #    #  ##
#    $ ###$###
#####.      ##
# # # # #  ###
#   .## . $.##
##$## #  $$$.#
#.$ .   # .# #
## ## ########
##############",14,11,8,0,"easy_negative",3566850050182843950
"###########
#   @    .#
# $.# $$ ##
#   ##  ###
###$##. ###
###. #$. ##
#   ##    #
###########",11,8,5,1,"positive",1880023348363069209
"###########
#   @    .#
# $.# $$ ##
#   ##$ ###
### ##. ###
###. #$. ##
#   ##    #
###########",11,8,5,0,"hard_negative",1880023348363069209
