run_id,generation,pushes,board_string,width,height,boxes
0,0,12,"##############
#         .###
##   #  #   ##
###    ### @ #
#    #      ##
###$ # ##  ###
###  # ##   ##
##############",14,8,1
0,2,17,"##############
#@        .###
##   #  # . ##
###    ###   #
#    # $    ##
###$ # ##  ###
###  # ##   ##
##############",14,8,2
0,3,18,"##############
#@        .###
## $ #  #   ##
### . $###   #
#    #    . ##
###$ #.##$ ###
###  # ##   ##
##############",14,8,4
0,5,20,"##############
#         .###
## $ #  #   ##
###    ###   #
#    #   @. ##
###$ #.##$ ###
###  # ##   ##
##############",14,8,3
0,6,21,"##############
#@     .  .###
## $ #  #   ##
###   $###   #
#    #    . ##
###$ #.##$ ###
###  # ##   ##
##############",14,8,4
0,7,23,"##############
#         .###
## $$#  #   ##
### . $###   #
#    #.$ @. ##
###$ #.##  ###
###  # ##   ##
##############",14,8,5
0,9,26,"##############
#        ..###
## $$#  #   ##
###    ###   #
#    #   @. ##
###$ #.##$ ###
###  # ##   ##
##############",14,8,4
0,12,27,"##############
#        ..###
## $$#  #   ##
###    ###   #
#    #  $@. ##
###$.#.##$ ###
###  # ##   ##
##############",14,8,5
0,15,28,"##############
#    @   ..###
## $$#  #   ##
###    ###   #
#    #  $   ##
###$.#.##$.###
###  # ##   ##
##############",14,8,5
0,16,29,"##############
#    @   ..###
## $$#  #   ##
###    ###$  #
#    #  $ . ##
###$.#.##$.###
###  # ##   ##
##############",14,8,6
0,18,30,"##############
#        ..###
## $$#. #   ##
###  $ ###   #
#    #  $   ##
###$.#.##$.###
###@ # ##   ##
##############",14,8,6
0,26,31,"##############
#  @     ..###
## $$#  #   ##
###    ###   #
#    #  $  .##
###$ # ##$.###
###  #.##   ##
##############",14,8,5
0,29,37,"##############
#      . . ###
## $$#. #   ##
###  $ ###   #
#  @ #  $   ##
###$ #.##$.###
###  # ##.  ##
##############",14,8,6
0,31,38,"##############
#      . . ###
## $$#. #   ##
###  $ ###   #
#  @ #  $   ##
###$ #.##$ ###
###  # ##.. ##
##############",14,8,6
0,36,48,"##############
# .    . . ###
## $$#. #   ##
###  $ ###   #
#  @ #  $   ##
###$ #.##  ###
###  # ##   ##
##############",14,8,5
0,48,49,"##############
# .    . . ###
## $$#. #   ##
### @$ ###   #
#  $ #  $   ##
###  #.##  ###
###  # ##   ##
##############",14,8,5
0,57,50,"##############
# .    . . ###
## $$#. #   ##
### @$ ###   #
#  $ #  $   ##
###  # ##  ###
###  #.##   ##
##############",14,8,5
1,0,4,"########
#   #  #
##  ## #
### #. #
#   # ##
#      #
#####$##
####  ##
## #@###
##    ##
########",8,11,1
1,1,6,"########
#   #  #
##  ## #
### #  #
#   # ##
#  $  .#
##### ##
####  ##
## #@###
##    ##
########",8,11,1
1,3,8,"########
#   #  #
## .## #
###.#. #
# $$# ##
#      #
#####$##
####  ##
## #@###
##    ##
########",8,11,3
1,4,9,"########
#  .#  #
##  ## #
###.#. #
# $$# ##
#      #
#####$##
####  ##
## #@###
##    ##
########",8,11,3
1,14,10,"########
#   #  #
##  ## #
###.#. #
#  $# ##
#  $  .#
#####$##
####  ##
## # ###
##  @ ##
########",8,11,3
1,19,11,"########
#  .#  #
##  ## #
### #  #
#  $#.##
#  $  .#
#####$##
####  ##
## # ###
##  @ ##
########",8,11,3
1,47,12,"########
#  .#  #
##  ## #
### #  #
#  $#.##
#   $ .#
#####$##
#### @##
## # ###
##    ##
########",8,11,3
1,60,13,"########
#  .#  #
##  ## #
### #. #
#  $# ##
#   $ .#
#####$##
####  ##
## # ###
##   @##
########",8,11,3
2,0,7,"###########
#####. # ##
## ##     #
##  #  # ##
#     #  ##
## $  # ###
### @ #  ##
###########",11,8,1
2,1,10,"###########
#####  # ##
## ## $  @#
##. #  # ##
#     #  ##
##  $ # ###
###  .#  ##
###########",11,8,2
