board_string,width,height,boxes,is_solvable,dataset_type,shell_hash,runtime_ms,pushes,moves,generated_states,expanded_nodes,total_children,effective_children,repeated_nodes,deadlocks,branching_real,branching_effective,branching_classic,redundancy,closed_list_length,path_branching_real_avg,path_branching_real_min,path_branching_real_max,path_branching_effective_avg,path_branching_effective_min,path_branching_effective_max,path_redundancy,path_deadlocks,path_box_lines,path_box_changes
"###########
#   .## ###
# # @ #  ##
#   ##   ##
#        ##
##  $##  ##
###  ##  ##
#    ##   #
##    #   #
####      #
###########",11,11,1,1,"positive",13625810632057419425,0.707066,7,34,6,6,24,11,3,0,4,1.83333,1.29171,8,6,2.91176,2,4,2.08824,1,4,3.53571,0,4,0
"##############
# ## #####@ ##
#  # ##    ###
#     $     ##
# $.$###  . .#
##   ### #   #
###    #######
##############",14,8,3,1,"positive",18024406326341900855,6.12959,27,94,407,407,4884,1203,388,752,12,2.95577,1.24926,12.5876,407,3.07447,2,4,2.10638,0,4,4.12857,21,14,10
"###########
# #    # ##
# # ##    #
# # ## # ##
#   #######
# #       #
####  @$  #
# ## ##  ##
#  # #.  ##
#    ## ###
###########",11,11,1,1,"positive",1486910972649183225,0.445337,4,7,3,3,12,5,1,2,4,1.66667,1.31607,12,3,3,2,4,2.42857,1,4,7,1,2,0
"########
####   #
# # ## #
#   ## #
#. @  .#
####$# #
#   $  #
# ###  #
# ###$ #
#   #  #
# $    #
# . ## #
######.#
########",8,14,4,1,"positive",4932155721552318239,5.83298,15,160,307,307,4912,1170,287,495,16,3.81107,1.4649,17.115,307,2.63125,1,4,1.46875,0,3,2.75163,33,13,8
"##############
####   # #   #
#    #     ###
#  . $ #.# ###
# # #   $ #  #
# # #    ### #
# # #@ ####  #
##  # ## ## ##
##           #
##  # ## ## ##
##############",14,11,2,1,"positive",17298358532473458149,0.522104,4,13,4,4,32,12,3,6,8,3,1.41421,10.6667,4,3,2,4,2.15385,1,3,3.54545,0,2,1
"########
#### . #
#  $   #
#      #
# @ #  #
# # # ##
# $ ####
#   .  #
# ##   #
# ######
########",8,11,2,1,"positive",12928974827888420198,0.589011,7,30,12,12,96,34,5,15,8,2.83333,1.42616,19.2,12,3,2,4,2.13333,1,4,3.46154,0,6,3
"########
# .#  ##
# $#.$##
#  #. ##
#  $@$.#
# #  # #
#      #
########",8,8,4,1,"positive",12021431033576606029,2.5597,14,74,242,242,3872,479,260,265,16,1.97934,1.48004,14.8923,242,2.56757,2,4,0.986486,0,4,3.01587,54,10,7
"###########
##  ###   #
## $# # # #
##   @#   #
#        ##
# #  # # ##
#      ####
# ##     ##
#  #. #  ##
###  ##  ##
###########",11,11,1,1,"positive",10503829063417883371,0.758343,8,17,9,9,36,17,8,1,4,1.88889,1.31607,4.5,9,3.17647,2,4,2.58824,1,4,6,1,3,0
"###########
#######  @#
#      $# #
#      $  #
# #  ### ##
# #  ######
# #  . . .#
#   #######
# # $ $  ##
#      .###
###########",11,11,4,1,"positive",11008956478747506618,516.827,41,302,21936,21936,350976,68376,45622,17047,16,3.11707,1.27609,7.69313,21936,2.68212,1,4,1.47351,0,4,2.92419,88,27,23
"########
# ######
#  #  ##
#      #
# ##   #
#  # # #
#    $ #
#  . $ #
#  #. @#
# ######
########",8,11,2,1,"positive",18140444817926569643,0.660647,6,19,12,12,96,36,10,6,8,3,1.51309,9.6,12,2.84211,2,4,2.05263,1,4,3.6,0,5,4
"###########
## #   #  #
#    # # .#
## #   #$ #
#   . $   #
#  # ## # #
# ## ##   #
## @###   #
##    # ###
##      ###
###########",11,11,2,1,"positive",5555501822414093274,0.599,7,40,13,13,104,40,9,2,8,3.07692,1.44256,11.5556,13,2.725,2,4,1.875,1,4,3.20588,0,5,3
"##############
#      ####  #
# #  ##  ### #
#    ##   #  #
###   @$     #
##.    ###$#.#
####         #
##############",14,8,2,1,"positive",5647944640983073072,0.857762,11,52,37,37,296,91,27,22,8,2.45946,1.38856,10.963,37,2.78846,1,4,1.96154,1,4,3.45238,1,6,1
"###########
#  @# #####
# #    # ##
#   # ##  #
#   ##    #
# # ## .$ #
#      ####
###########",11,8,1,1,"positive",3008443107575051232,0.489491,2,15,1,1,4,1,0,1,4,1,1,0,1,2.53333,2,3,1.6,1,3,2.71429,0,1,0
"##############
####   # @  ##
#   #  # #  ##
#  $## ###  ##
#        .# ##
# #  ##      #
#    ###### ##
##############",14,8,1,1,"positive",9281565167716831943,0.484001,8,28,7,7,28,10,1,1,4,1.42857,1.27537,28,7,2.85714,2,4,2.03571,1,4,3.63636,1,2,0
"########
##     #
##     #
##.$####
#   #  #
# # #  #
#   ## #
## #@  #
#     ##
## # ###
#    ###
# #   ##
#     ##
########",8,14,1,1,"positive",15749645092703571786,0.523095,4,19,3,3,12,5,1,2,4,1.66667,1.31607,12,3,2.73684,2,4,1.94737,1,4,3.46667,0,3,0
"########
#  @   #
# #  # #
#  .   #
# #    #
#### # #
# #  $ #
#      #
#   ####
#      #
########",8,11,1,1,"positive",13991334159395356942,0.468231,6,17,5,5,20,9,4,3,4,1.8,1.30766,5,5,3.05882,2,4,2.29412,1,4,4.33333,1,3,0
"###########
# ##  . ###
# ####  ###
# . ##$   #
#    $ ## #
# $. #  # #
####   ##@#
###########",11,8,3,1,"positive",3724790800353671713,0.622264,12,49,19,19,228,48,7,34,12,2.52632,1.27809,32.5714,19,2.57143,1,4,1.73469,1,4,3.40541,4,7,6
"###########
#       ###
# #   # ###
#### ##   #
# ##    ###
#.## # $###
#         #
#@  ##$ # #
#  ###  # #
# ##   .# #
###########",11,11,2,1,"positive",7855039411183336001,1.65711,12,25,50,50,400,86,30,16,8,1.72,1.38542,13.3333,50,2.92,2,4,2.36,1,4,5.21429,0,4,1
