board_string,width,height,boxes,is_solvable,shell_hash,runtime_ms,pushes,moves,generated_states,expanded_nodes,total_children,effective_children,repeated_nodes,deadlocks,branching_real,branching_effective,branching_classic,redundancy,closed_list_length,path_branching_real_avg,path_branching_real_min,path_branching_real_max,path_branching_effective_avg,path_branching_effective_min,path_branching_effective_max,path_redundancy,path_deadlocks,path_box_lines,path_box_changes,solution_lurd,wall_density,open_space_ratio,connectivity,aspect_ratio,dead_end_ratio,avg_symmetry,num_interior_regions,initial_optimal_distance
"########
##  .###
## # ###
####$  #
#    ###
#@#  ###
#      #
########",8,8,1,1,17782533137759606889,0.57828,3,6,2,2,8,2,0,0,4,1,1.25992,0,2,2.5,2,3,2,1,3,5,0,1,0,"urrrUU",0.671875,0.368421,21,1,0.142857,0.6875,1,2
"##############
# ##    #   ##
# ## #  #   ##
#       #. ###
#  #   @  $  #
## # ##    # #
#### #####   #
##############",14,8,1,1,16904324445777328323,2.24583,3,14,2,2,8,7,1,0,4,3.5,1.25992,8,2,2.64286,2,4,1.78571,1,4,3.08333,0,2,0,"drrrdrruulLdlU",0.589286,0.45098,46,1.75,0.0652174,0.678571,1,2
"########
#   ####
# #  # #
####   #
# ## # #
#@## # #
#    # #
##$#####
# .   ##
## #   #
########",8,11,1,1,17466739170384745822,0.350156,2,3,1,1,4,1,0,0,4,1,1,0,1,2.33333,2,3,2,2,2,7,0,1,0,"drD",0.647727,0.369048,31,0.727273,0.225806,0.693182,1,1
"########
# ### ##
# ##   #
#  .# ##
##    ##
###$# ##
##  ## #
## @## #
##  ## #
##     #
########",8,11,1,1,17221564856353052318,0.402446,3,3,2,2,8,2,0,0,4,1,1.25992,0,2,2.66667,2,3,2.66667,2,3,0,0,1,0,"uUU",0.659091,0.379747,30,0.727273,0.2,0.613636,1,2
"##############
#### @ .##   #
#  ####  # ###
#   # #    ###
###     #    #
##  #   #$ # #
#   ##  #    #
##############",14,8,1,1,13963572127687759276,0.505662,11,29,10,10,40,10,1,2,4,1,1.23285,40,10,2.72414,2,4,1.96552,1,3,3.95,2,4,0,"rrddrrdrddlUUruLLulDDlddrUUUU",0.589286,0.422018,46,1.75,0.0869565,0.625,1,6
"########
#     ##
# # $ ##
#     ##
#   #  #
### #  #
### #@ #
#   ## #
### ## #
###.   #
########",8,11,1,1,10341322108765437004,0.473792,9,14,9,9,36,11,7,4,4,1.22222,1.27652,5.14286,9,2.85714,2,4,2.5,2,4,8,0,2,0,"uuuuLulDDDDDDD",0.602273,0.432099,35,0.727273,0.0285714,0.670455,1,8
"###########
#    #.# ##
#### #    #
#  @ # # ##
#       ###
# # $#   ##
####      #
###########",11,8,1,1,6286806954064021617,1.65027,7,22,6,6,24,8,3,2,4,1.33333,1.29171,8,6,2.95455,2,4,2.13636,1,4,4.0625,2,3,0,"drrrddllUluRRlddrruUUU",0.590909,0.433735,36,1.375,0.194444,0.704545,1,6
"########
#   # ##
##   @ #
### # ##
# #  ###
# #  ###
# #$   #
#  .#  #
# #### #
# ###  #
########",8,11,1,1,8912623771429579324,0.484432,2,6,1,1,4,1,0,0,4,1,1,0,1,3,2,4,2.33333,1,4,4.5,0,1,0,"lldddD",0.636364,0.380952,32,0.727273,0.21875,0.738636,1,1
"########
### # ##
###    #
#   # ##
#   ## #
### ## #
###    #
####   #
#    # #
#   .  #
#### ###
## $ ###
#@     #
########",8,14,1,1,13958516232018851070,0.449806,4,7,3,3,12,3,0,1,4,1,1.31607,0,3,2.42857,1,3,2,1,3,5.66667,0,2,0,"ruRdrUU",0.607143,0.419048,44,0.571429,0.159091,0.678571,1,3
"##############
#####  # #####
#   #        #
#   #  # #   #
#  $   .     #
# ## # ##   ##
# ####### ####
#   ######  ##
# # @#   #  ##
#           ##
##############",14,11,1,1,8920813308213011965,0.475544,5,12,4,4,16,5,0,1,4,1.25,1.31951,0,4,2.58333,2,3,2,1,3,4.42857,0,1,0,"lulluuurRRRR",0.564935,0.475177,67,1.27273,0.0597015,0.727273,1,4
"########
#      #
# ## ###
# ## ###
#  . ###
##  # ##
### #  #
###@   #
## $####
##     #
#     ##
#  # ###
# ##  ##
########",8,14,1,1,2271774618897796802,1.61264,7,10,6,6,24,9,0,0,4,1.5,1.29171,0,6,3,2,4,2.6,1,4,7.5,0,2,0,"DlddrUUUUU",0.625,0.407767,42,0.571429,0.119048,0.696429,1,4
"########
#      #
### @  #
### ####
# $. ###
#    ###
####   #
########",8,8,1,1,11773016500078106581,1.57386,2,8,1,1,4,1,0,1,4,1,1,0,1,2.625,2,4,1.75,1,3,3.5,1,1,0,"ldddlluR",0.65625,0.372881,22,1,0.0909091,0.6875,1,1
"########
###.  ##
## #  ##
#  #$###
# $   @#
#.## # #
# ######
########",8,8,2,1,15392123806673085795,0.444687,6,15,10,10,80,16,0,3,8,1.6,1.4678,0,10,2.46667,2,4,1.8,1,3,4.11111,1,4,1,"lllLulDrrrUUruL",0.703125,0.358491,19,1,0.263158,0.71875,1,5
"########
# ##.  #
#.#  ###
# ##@###
#      #
# $$ # #
#   ####
########",8,8,2,1,13895161880862981572,0.568492,10,35,27,27,216,63,4,19,8,2.33333,1.39039,54,27,2.91429,2,4,2.14286,1,4,3.92308,1,8,5,"dlllddrrULdlUruRdrUdlllUrrrUUddlllU",0.640625,0.377049,23,1,0.173913,0.6875,1,9
"########
#      #
#### # #
#      #
# # #  #
#####  #
#.#.#  #
#   ##@#
# # #  #
# $    #
# $ ## #
##  #  #
### ####
########",8,14,2,1,8204723301289030430,0.652051,10,27,24,24,192,47,8,10,8,1.95833,1.37411,24,24,2.62963,2,4,1.85185,1,4,3.94444,3,4,1,"ddllluulldddRdrUUUUddLdlUUU",0.580357,0.443396,47,0.571429,0.148936,0.696429,1,9
"########
###@   #
##  #  #
#   ## #
## # .##
#  $  ##
## #  ##
####  ##
#  $  ##
#.    ##
########",8,11,2,1,18394351613042660856,0.464303,9,31,11,11,88,24,6,2,8,2.18182,1.3053,14.6667,11,2.83871,2,4,2.03226,1,3,3.52,0,5,3,"ddlddRRddddlluRdrruuuUddlDrdLLL",0.602273,0.443038,35,0.727273,0.114286,0.715909,1,8
"########
#     ##
# # $ ##
#  .  ##
##   #@#
## # # #
# ## # #
#      #
# ##$# #
# ##.  #
########",8,11,2,1,1248126420610956263,0.417425,4,27,4,4,32,12,1,5,8,3,1.41421,32,4,2.7037,1,4,1.85185,1,3,3.17391,0,3,2,"dddlluuuuruLdddddDuuuuuuulD",0.579545,0.435294,37,0.727273,0.108108,0.738636,1,3
"########
##### ##
#@ # . #
# ###$##
#.$    #
# # ####
#      #
########",8,8,2,1,14296470448993786974,0.386485,3,13,2,2,16,5,0,0,8,2.5,1.25992,0,2,2.30769,1,3,1.53846,1,2,3,0,2,1,"ddddrruuLrrrU",0.65625,0.372881,22,1,0.272727,0.6875,1,2
"###########
####   ####
# #  # #  #
#   $     #
### ###  .#
## @   ####
#     $   #
#  . ##   #
# # #   # #
#   ## ####
###########",11,11,2,1,8089837882279252496,1.4044,15,42,111,111,888,210,64,57,8,1.89189,1.36885,13.875,111,3.02381,2,4,2.33333,1,4,4.53571,1,5,2,"uuRRRRRllllldddrrRRdrruLLLLLulDuuurrrrrurD",0.561983,0.473214,53,1,0.0754717,0.768595,1,10
"########
# # ####
# # .# #
# # .$ #
#    $ #
# #  # #
####   #
#   # ##
# #   @#
##### ##
########",8,11,2,1,6172857533343197209,0.440368,5,20,7,7,56,15,5,6,8,2.14286,1.47577,11.2,7,2.65,1,4,1.9,1,4,3.53333,0,3,1,"luuruuLrddlluUUdrruL",0.613636,0.425,34,0.727273,0.205882,0.772727,1,4
"##############
###      #   #
###    # #  ##
#   #####  ###
## ####     ##
#.$  # ###$ ##
## #  @   . ##
##############",14,8,2,1,13311226643263556779,0.559504,3,19,2,2,16,5,0,0,8,2.5,1.25992,0,2,2.31579,2,4,1.47368,1,3,2.75,0,2,1,"llulLrrdrrrrrrruulD",0.616071,0.421569,43,1.75,0.162791,0.732143,1,2
"###########
#      .  #
# #  ######
#    ##  @#
# .# #    #
#  # # ## #
# $# # ## #
#       $ #
##    # # #
###  ######
###########",11,11,2,1,5528670119583634227,1.19243,16,37,66,66,528,132,74,44,8,2,1.29934,7.13514,66,2.94595,2,4,2.37838,1,4,5.19048,0,7,4,"ddddLLLLdlUllUdrrUdlluUddrruUUUUluRRR",0.561983,0.469027,53,1,0.0566038,0.768595,1,15
"########
#.  ####
# ## . #
# ##   #
# $ #$##
# #    #
#  @# ##
########",8,8,2,1,14308414277130214846,0.427173,7,33,11,11,88,18,0,9,8,1.63636,1.40854,0,11,2.36364,1,4,1.57576,1,3,3,0,5,3,"uuLrddlluUrrdrrUdllullUUddrrdrruU",0.625,0.4,24,1,0.125,0.71875,1,6
"########
#   #  #
#   ## #
# $.#  #
# ## @ #
# ##.###
#  $ ###
#    # #
# #  # #
#    # #
## #   #
#    ###
## # ###
########",8,14,2,1,9811851905334985621,0.428826,4,21,4,4,32,8,0,2,8,2,1.41421,0,4,2.66667,2,4,1.80952,1,3,3.11111,0,3,1,"ldddlluluuuRldddrRdrU",0.571429,0.448598,48,0.571429,0.104167,0.696429,1,3
"###########
####  @  ##
# .  $ $###
#   ###  ##
# #     . #
####  # # #
# #  ##   #
#.$    #  #
# ###  ## #
# #### #  #
###########",11,11,3,1,18085984663783749178,0.712085,8,46,19,19,228,60,7,6,12,3.15789,1.44492,32.5714,19,2.76087,1,3,1.80435,1,3,3.175,4,5,3,"lldlddrdddlLruruuluururrrDlLLLrrrrDullllddrrrR",0.578512,0.455357,51,1,0.117647,0.735537,1,7
"########
#  .## #
#@#$## #
# $  . #
#  # $.#
#  ### #
#  ### #
##  # ##
###    #
##  # ##
########",8,11,3,1,11167784243616896444,0.537823,6,8,6,6,72,11,0,2,12,1.83333,1.34801,0,6,2.5,1,3,1.875,1,3,10,3,4,3,"dRRUdRdR",0.613636,0.404762,34,0.727273,0.176471,0.761364,1,5
"###########
#   ## ## #
##  ## # .#
###    #$ #
### $.  $ #
##  ###  @#
#  .   ####
###########",11,8,3,1,11086983441697374501,0.820011,11,56,56,56,672,109,22,52,12,1.94643,1.44187,30.5455,56,2.78571,2,4,1.44643,0,3,3.18367,26,7,5,"llullLrrrdrruLLLrrruulDrddllululllDurrrdrRdrUUdlllulldlD",0.613636,0.409639,34,1.375,0.147059,0.761364,1,10
"########
## #   #
#      #
## #####
#   # ##
# #$   #
#   # ##
# .   ##
###$  ##
###  ###
#   $.##
#@#   ##
# .   ##
########",8,14,3,1,8924231123990520703,2.21428,10,36,125,125,1500,361,178,108,12,2.888,1.62066,8.42697,125,2.94444,2,4,2.13889,1,4,3.92593,2,5,2,"urrRuuulDDDDrdLuuuuuulluurrDDurrddlL",0.571429,0.461538,48,0.571429,0.0833333,0.732143,1,9
"##############
###    ###   #
##  ##$#.. @ #
#   ## ##    #
# ##. $   $###
#  #   #   ###
#      ##    #
##############",14,8,3,1,6395259659143198849,1.96353,14,105,154,154,1848,312,155,100,12,2.02597,1.43302,11.9226,154,2.65714,2,4,1.6381,1,4,2.63208,1,10,4,"dlldllLddlllluluurururrrDulllddlldddrrrurruLddllluluurururrrdDuulllddlldddrrruruRRRdrUUruLdddrUluurrdLdlU",0.5625,0.453704,49,1.75,0.0408163,0.678571,1,13
"###########
###  ## ###
###  #  ###
#    ##   #
# #####  ##
#  #  # ###
#  #     ##
# $ $#@## #
##   # ## #
### .#    #
##   #### #
##  $#### #
##.   .   #
###########",11,14,3,1,172935558088216848,4.35874,17,142,285,285,3420,535,316,322,12,1.87719,1.39445,10.8228,285,2.61268,2,4,1.6338,1,3,2.81061,7,15,9,"ullDldlUluurDldRdrddddrrrrrruuullluuulldDlddrDuluuruurrdddrrrdddllllLuuluurDulluRddddrdrrrrruuullluuullDlddrDuluurDuurrdddrrrdddlllllLuurDldRR",0.597403,0.442857,62,0.785714,0.0806452,0.642857,1,14
"########
##### ##
# # $ .#
#.$ # ##
#   @$ #
# .#   #
# ######
########",8,8,3,1,12143823784182331360,0.960508,8,26,24,24,288,43,10,29,12,1.79167,1.48774,28.8,24,2.57692,2,4,1.80769,1,4,3.72222,2,5,3,"luuRldLrurRllddrdrruLLLulD",0.65625,0.407407,22,1,0.181818,0.8125,1,7
"########
#     ##
# ##  ##
# ##@$##
##### ##
##. $. #
### # ##
####   #
#  #$  #
#  .   #
########",8,11,3,1,17992396745647535637,0.713017,13,34,46,46,552,87,12,40,12,1.8913,1.34247,46,46,2.79412,1,4,2.11765,1,4,4.52381,2,5,3,"urDDDDDlDurrddlLuuruuLLrrddlddrUUU",0.625,0.402439,33,0.727273,0.121212,0.761364,1,6
"########
#     ##
# #@$###
#  $ .##
#  .#  #
###### #
#   #  #
# .  $ #
# #### #
# #### #
########",8,11,3,1,8050975856074949734,0.455818,7,28,13,13,156,18,0,5,12,1.38462,1.44256,0,13,2.5,2,3,1.67857,1,3,3.04348,0,4,2,"DrrdrdddLLLrruruululluurDldR",0.613636,0.419753,34,0.727273,0.0882353,0.829545,1,6
"###########
###  #    #
##  $#.$ ##
#    #  ###
#.   . # ##
# # $#    #
#@     # ##
###########",11,8,3,1,13662917104798804192,0.770737,9,55,36,36,432,102,32,75,12,2.83333,1.4891,13.5,36,2.98182,2,4,1.96364,1,4,3.28,6,8,5,"rrrUdrruulLuluurDldldlddrruruLrrruuurrdLdldllluurDldRlL",0.556818,0.46988,39,1.375,0.102564,0.772727,1,8
"##############
### ###    ###
### # # #  ###
#     # @    #
## ##$#      #
#      ## ####
## ## ### # ##
####  $ .    #
##   . #  $ ##
#   ##### .###
##############",14,11,3,1,10773442346754815717,0.60425,10,41,23,23,276,49,7,15,12,2.13043,1.36827,39.4286,23,2.85366,2,4,2,1,4,3.54545,2,4,3,"drdddllLrrrrDulllldlluRRRlluullluurrrDDDD",0.590909,0.456522,63,1.27273,0.142857,0.720779,1,7
"###########
###  ##   #
##   #### #
#      ## #
##  ##    #
##  #  $# #
###       #
#    . # ##
###. #$   #
###  . # ##
#   # #  @#
####### $ #
#         #
###########",11,14,3,1,11887839014672774228,40.3605,25,146,1922,1922,23064,5050,2549,2066,12,2.62747,1.35316,9.04825,1922,3.0137,1,4,2.11644,1,4,3.41085,2,18,9,"luuuulluurDurrddlLLulDrdLulDlddrrrUdllluurDuurrrrddllUdrruulLLdldldRuurrdrrddlddrUUUUlluulLruruulllddDrdrrdrrUdlluuuurrrddLddlluulllDrrrdrruuLLulD",0.532468,0.48,72,0.785714,0.0972222,0.668831,1,24
