FO,BT_id,Algoritmo,Semilla_ID,Fitness_Bruto,Board_Hash,Board_String,Tiempo_Segundos
Pushes,1,SA,1,-20,13795791153769718667,############|#######  ###|#  #  #    #|#   $   @  #|# $#  ### ##|## ##  # .##|##      . ##|##  ####  ##|############|,0.1881
Pushes,1,SA,2,-19,16771878592269774459,############|#######  ###|#  #  #$ $ #|# . @      #|#  #  ### ##|## ##  #. ##|##  . $   ##|##  ####  ##|############|,0.1510
Pushes,1,SA,3,-30,1380671630536309763,############|#######  ###|#  #. #  . #|#  $   @$$ #|#  #  ### ##|##$##  #  ##|##   .    ##|##  ####. ##|############|,1.6770
Pushes,1,SA,4,-50,15316103136691981753,############|#######  ###|#..#. #$   #|#   $  $   #|#  #  ### ##|## ##$ # $##|##. $.    ##|##@ ####. ##|############|,6.3159
Pushes,1,SA,5,-26,10697346955889002881,############|#######  ###|#  #  # $  #|# .       @#|#. #  ### ##|## ##  #  ##|##$     .$##|##  ####  ##|############|,0.2751
Pushes,1,SA,6,-18,4216891312117695004,############|#######  ###|#..# .#    #|#    $@    #|#  #  ### ##|## ##  #  ##|## $  $   ##|##  ####  ##|############|,0.1675
Pushes,1,SA,7,-44,7440517014823061801,############|####### .###|#  #  # .  #|#  $  $ @  #|# $#.$### ##|## ##  #  ##|## .  .  $##|##  ####  ##|############|,2.9173
Pushes,1,SA,8,-21,428429658399750454,############|#######  ###|#  #  #    #|#      @   #|#  # .### ##|## ##. #  ##|##   $  $ ##|##  ####  ##|############|,0.2041
Pushes,1,SA,9,-23,7790068886375451205,############|#######. ###|#  #  #$   #|#          #|#  #  ### ##|##$##  # $##|##   .    ##|##  ####.@##|############|,0.2014
Pushes,1,SA,10,-31,5591434443241799337,############|#######  ###|#. #  #    #|#     $ $  #|#  #  ### ##|## ##  #  ##|## @  $.. ##|##  ####  ##|############|,0.4146
Pushes,1,SA,11,-61,1116184223632725288,############|#######  ###|#  # .#$   #|# .$  $    #|# $#  ###$##|## ##. #. ##|##.       ##|##  ####@ ##|############|,8.0418
Pushes,1,SA,12,-23,3906460982911058813,############|#######  ###|#  #  #    #|#          #|#  #  ### ##|##$##  # @##|##  . .  $##|##  ####  ##|############|,0.1644
Pushes,1,SA,13,-27,12963511802098819947,############|#######  ###|#  #  # $  #|#          #|#. #  ###@##|## ##  #. ##|##  $  . $##|##  ####  ##|############|,0.1751
Pushes,1,SA,14,-29,1160460074005374402,############|#######  ###|#  #. #@   #|#   $.$   .#|#  # .###$##|## ##  #  ##|## $      ##|##  ####  ##|############|,0.3526
Pushes,1,SA,15,-21,12716046857082363547,############|#######  ###|#  #  #    #|#   $  @   #|# $#  ### ##|## ##  #  ##|##     .  ##|##  #### .##|############|,0.2006
Pushes,1,ES,1,-61,13634184050617726837,############|#######  ###|#. #  # $  #|#$.    $@  #|# .# $###$##|##.##  #  ##|##$ .     ##|##  ####. ##|############|,24.3298
Pushes,1,ES,2,-96,8733174968475023875,############|#######  ###|#  #  #$ $ #|# . $     @#|#  #  ### ##|##.##$ #  ##|##  .$  . ##|##  ####. ##|############|,30.3349
