Variant,Heuristic,Shell_Idx,Shell_File,Seed,Cores,Threshold,Time_s,Hybrid_Delegations_6PlusBoxes,Collapsed_Immediate,Top5_Best_Real_Astar_Pushes,pipeline_hash
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,42,24,0.7,4.853523015975952,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,43,24,0.7,7.485064506530762,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,44,24,0.7,5.9407079219818115,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,45,24,0.7,7.5450825691223145,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,46,24,0.7,7.546722412109375,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,47,24,0.7,5.000312089920044,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,48,24,0.7,6.357426643371582,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,49,24,0.7,6.950878858566284,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,50,24,0.7,9.710222959518433,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,1,shell_1.sok,51,24,0.7,10.404704809188843,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,42,24,0.7,2.7210025787353516,0,0,18,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,43,24,0.7,3.359588623046875,0,0,21,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,44,24,0.7,3.6043076515197754,0,0,21,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,45,24,0.7,3.788970947265625,0,0,20,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,46,24,0.7,3.712757110595703,0,0,20,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,47,24,0.7,4.167957544326782,0,0,20,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,48,24,0.7,5.571656942367554,0,0,18,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,49,24,0.7,4.676626205444336,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,50,24,0.7,4.923829555511475,0,0,20,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,2,shell_2.sok,51,24,0.7,3.1166067123413086,0,0,19,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,42,24,0.6,4.744121074676514,0,0,33,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,43,24,0.6,3.4365453720092773,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,44,24,0.6,2.633286237716675,0,0,11,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,45,24,0.6,2.802233934402466,0,0,18,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,46,24,0.6,2.919774055480957,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,47,24,0.6,4.026439428329468,0,0,32,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,48,24,0.6,3.7578940391540527,0,0,19,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,49,24,0.6,1.8088819980621338,0,0,21,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,50,24,0.6,3.914545774459839,0,0,15,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,3,shell_3.sok,51,24,0.6,2.384578227996826,0,0,16,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,42,24,0.7,2.9680113792419434,0,0,39,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,43,24,0.7,2.997415781021118,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,44,24,0.7,4.007975339889526,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,45,24,0.7,1.767592191696167,0,0,37,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,46,24,0.7,2.953338146209717,0,0,46,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,47,24,0.7,4.637683629989624,0,0,58,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,48,24,0.7,7.0970892906188965,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,49,24,0.7,5.4801411628723145,0,0,31,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,50,24,0.7,2.918156623840332,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,4,shell_4.sok,51,24,0.7,4.228367328643799,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,42,24,0.7,37.82511901855469,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,43,24,0.7,41.86134195327759,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,44,24,0.7,13.120347023010254,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,45,24,0.7,302.0048496723175,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,46,24,0.7,7.180952310562134,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,47,24,0.7,15.668166637420654,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,48,24,0.7,127.7877562046051,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,49,24,0.7,180.23619031906128,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,50,24,0.7,260.90473222732544,0,0,0,8976741acaa05ad2
full_surrogate_no_audit,full_surrogate_no_audit,5,shell_5.sok,51,24,0.7,10.173792123794556,0,0,0,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,42,24,0.7,184.00143885612488,0,0,52,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,43,24,0.7,315.3744168281555,0,0,57,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,44,24,0.7,23.18197226524353,0,0,41,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,45,24,0.7,128.41945910453796,0,0,64,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,46,24,0.7,304.6498613357544,0,0,66,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,47,24,0.7,301.4278748035431,0,0,61,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,48,24,0.7,5.674862861633301,0,0,32,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,49,24,0.7,66.24934077262878,0,0,53,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,50,24,0.7,138.47063636779785,0,0,57,8976741acaa05ad2
full_surrogate,full_surrogate,1,shell_1.sok,51,24,0.7,305.30078196525574,0,0,62,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,42,24,0.7,6.0814619064331055,0,0,21,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,43,24,0.7,3.8338122367858887,0,0,19,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,44,24,0.7,3.445657730102539,0,0,19,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,45,24,0.7,2.514174222946167,0,0,18,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,46,24,0.7,4.595839023590088,0,0,21,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,47,24,0.7,4.351065397262573,0,0,22,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,48,24,0.7,6.558802843093872,0,0,23,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,49,24,0.7,5.14684534072876,0,0,22,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,50,24,0.7,2.2261037826538086,0,0,18,8976741acaa05ad2
full_surrogate,full_surrogate,2,shell_2.sok,51,24,0.7,6.0790488719940186,0,0,22,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,42,24,0.6,4.573207139968872,0,0,33,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,43,24,0.6,5.783323049545288,0,0,29,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,44,24,0.6,2.524059534072876,0,0,22,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,45,24,0.6,4.508068084716797,0,0,28,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,46,24,0.6,4.85364556312561,0,0,15,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,47,24,0.6,2.0229885578155518,0,0,27,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,48,24,0.6,2.435758590698242,0,0,17,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,49,24,0.6,2.395843267440796,0,0,26,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,50,24,0.6,2.1680784225463867,0,0,15,8976741acaa05ad2
full_surrogate,full_surrogate,3,shell_3.sok,51,24,0.6,2.046746015548706,0,0,14,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,42,24,0.7,11.589493751525879,0,0,51,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,43,24,0.7,3.615931749343872,0,0,52,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,44,24,0.7,4.476186037063599,0,0,34,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,45,24,0.7,3.8579001426696777,0,0,44,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,46,24,0.7,4.349690914154053,0,0,46,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,47,24,0.7,5.900750637054443,0,0,27,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,48,24,0.7,7.210297107696533,0,0,46,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,49,24,0.7,7.935691833496094,0,0,50,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,50,24,0.7,3.6011667251586914,0,0,41,8976741acaa05ad2
full_surrogate,full_surrogate,4,shell_4.sok,51,24,0.7,8.766428709030151,0,0,49,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,42,24,0.7,181.62281847000122,0,0,97,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,43,24,0.7,304.3013069629669,0,0,110,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,44,24,0.7,305.38801765441895,0,0,113,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,45,24,0.7,314.2644410133362,0,0,75,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,46,24,0.7,325.51246666908264,0,0,90,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,47,24,0.7,266.88362097740173,0,0,109,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,48,24,0.7,312.53816294670105,0,0,84,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,49,24,0.7,315.5940155982971,0,0,101,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,50,24,0.7,316.61334681510925,0,0,108,8976741acaa05ad2
full_surrogate,full_surrogate,5,shell_5.sok,51,24,0.7,306.5021722316742,0,0,104,8976741acaa05ad2
