board_id,bucket,box_count,source_file,board_hash,source_verified_test_split,eval_fold
0,1-10,1,1_to_10.sok,9c5c2892dbcb,True,2
1,1-10,1,1_to_10.sok,deca5f0b33d7,True,2
2,1-10,2,1_to_10.sok,bbbcc6a2ee38,True,2
3,1-10,2,1_to_10.sok,28df2834981f,True,2
4,1-10,2,1_to_10.sok,093406695a1e,True,2
5,1-10,1,1_to_10.sok,2382c8a16c21,True,2
6,1-10,1,1_to_10.sok,59de0be53722,True,2
7,1-10,2,1_to_10.sok,340b887c0254,True,2
8,1-10,2,1_to_10.sok,9ef71e6b5691,True,2
9,1-10,1,1_to_10.sok,cbc68bd89954,True,2
10,1-10,1,1_to_10.sok,bba4ff9d300d,True,2
11,1-10,1,1_to_10.sok,f5abeb01b431,True,2
12,1-10,1,1_to_10.sok,f6b4ddcad1ed,True,2
13,1-10,2,1_to_10.sok,ae5a9190d803,True,2
14,1-10,1,1_to_10.sok,80c719ba6455,True,2
15,11-20,1,11_to_20.sok,39959d8320c4,True,2
16,11-20,3,11_to_20.sok,a2861e1d6a71,True,2
17,11-20,3,11_to_20.sok,1cf7e2481ed1,True,2
18,11-20,3,11_to_20.sok,86810824adec,True,2
19,11-20,3,11_to_20.sok,39fa51cb6918,True,2
20,11-20,2,11_to_20.sok,62d2e576704f,True,2
21,11-20,1,11_to_20.sok,b1d923251aab,True,2
22,11-20,1,11_to_20.sok,4f95207621d0,True,2
23,11-20,5,11_to_20.sok,b8833247469a,True,2
24,11-20,2,11_to_20.sok,f2e136953e98,True,2
25,11-20,2,11_to_20.sok,75d00052313f,True,2
26,11-20,3,11_to_20.sok,814c07e62f42,True,2
27,11-20,4,11_to_20.sok,5fa2c0a10a7c,True,2
28,11-20,3,11_to_20.sok,eca74496e4aa,True,2
29,11-20,2,11_to_20.sok,1cccb3ca90d7,True,2
30,21-30,3,21_to_30.sok,5bb72ad6e741,True,2
31,21-30,4,21_to_30.sok,f6139d4825f2,True,2
32,21-30,5,21_to_30.sok,e6058ad37e0e,True,2
33,21-30,4,21_to_30.sok,5ff675ce331f,True,2
34,21-30,3,21_to_30.sok,62ca9ec54df6,True,2
35,21-30,3,21_to_30.sok,8c007b7881af,True,2
36,21-30,6,21_to_30.sok,26f29437d044,True,2
37,21-30,5,21_to_30.sok,fbee3380ceaa,True,2
38,21-30,2,21_to_30.sok,919941074dca,True,2
39,21-30,4,21_to_30.sok,7a1b085e144a,True,2
40,21-30,6,21_to_30.sok,53a4b558b28c,True,2
41,21-30,4,21_to_30.sok,4dc599ffaf64,True,2
42,21-30,4,21_to_30.sok,38697d0d403f,True,2
43,21-30,4,21_to_30.sok,85a0f571d988,True,2
44,21-30,5,21_to_30.sok,488ae448592d,True,2
45,31-50,7,41_to_50.sok,bbfc723ce76c,True,2
46,31-50,5,41_to_50.sok,0c3e5224da8e,True,2
47,31-50,2,31_to_40.sok,496cce7d41ef,True,2
48,31-50,7,41_to_50.sok,9ca1ef466337,True,2
49,31-50,5,31_to_40.sok,fc73a2c1fbf5,True,2
50,31-50,5,41_to_50.sok,5dcfe1c4ff6a,True,2
51,31-50,5,41_to_50.sok,b26cb0b69c01,True,2
52,31-50,7,41_to_50.sok,6be4670590ce,True,2
53,31-50,6,41_to_50.sok,47f052dfaf7c,True,2
54,31-50,7,31_to_40.sok,6da4c42fb1f2,True,2
55,31-50,5,41_to_50.sok,cee31b5bf35a,True,2
56,31-50,4,31_to_40.sok,f3cda0f4baa9,True,2
57,31-50,5,41_to_50.sok,c08981bdf128,True,2
58,31-50,5,31_to_40.sok,0f2651694031,True,2
59,31-50,5,31_to_40.sok,5e79097be4d3,True,2
60,51-70,7,51_to_60.sok,efdd4f1f6485,True,2
61,51-70,7,61_to_70.sok,b6ae62f765e4,True,2
62,51-70,6,51_to_60.sok,447aecb48301,True,2
63,51-70,7,51_to_60.sok,c55d65bd55a7,True,2
64,51-70,5,61_to_70.sok,7914d16f955e,True,2
65,51-70,7,51_to_60.sok,01a4a66a77d3,True,2
66,51-70,7,51_to_60.sok,23ac01f1226d,True,2
67,51-70,7,61_to_70.sok,572e9265da9b,True,2
68,51-70,6,61_to_70.sok,b2a512a87a94,True,2
69,51-70,6,51_to_60.sok,80fa4f7fe0aa,True,2
70,51-70,6,51_to_60.sok,c3ccc934d786,True,2
71,51-70,5,61_to_70.sok,edad937abc3c,True,2
72,51-70,6,51_to_60.sok,24f8a94917cb,True,2
73,51-70,6,51_to_60.sok,4100780ac1fc,True,2
74,51-70,5,61_to_70.sok,e3f8bd1b9f55,True,2
75,71-90,7,81_to_90.sok,985ad3ebba18,True,2
76,71-90,7,81_to_90.sok,da096ad24dc3,True,2
77,71-90,4,81_to_90.sok,cf383f4a0412,True,2
78,71-90,4,81_to_90.sok,559f99b9bbd7,True,2
79,71-90,7,71_to_80.sok,8cac1388bf0c,True,2
80,71-90,7,81_to_90.sok,b570e533f808,True,2
81,71-90,6,71_to_80.sok,340fcf639845,True,2
82,71-90,7,81_to_90.sok,5d1f64f089f3,True,2
83,71-90,3,81_to_90.sok,4b9c9405ee02,True,2
84,71-90,7,81_to_90.sok,6040d541695d,True,2
85,71-90,7,81_to_90.sok,68d4963a64a2,True,2
86,71-90,7,81_to_90.sok,d12bd8648d73,True,2
