board_id,bucket,box_count,source_file,board_hash,source_verified_test_split,eval_fold
30,21-30,3,21_to_30.sok,5bb72ad6e741,True,2
31,21-30,4,21_to_30.sok,f6139d4825f2,True,2
32,21-30,5,21_to_30.sok,e6058ad37e0e,True,2
33,21-30,4,21_to_30.sok,5ff675ce331f,True,2
34,21-30,3,21_to_30.sok,62ca9ec54df6,True,2
35,21-30,3,21_to_30.sok,8c007b7881af,True,2
36,21-30,6,21_to_30.sok,26f29437d044,True,2
37,21-30,5,21_to_30.sok,fbee3380ceaa,True,2
38,21-30,2,21_to_30.sok,919941074dca,True,2
39,21-30,4,21_to_30.sok,7a1b085e144a,True,2
40,21-30,6,21_to_30.sok,53a4b558b28c,True,2
41,21-30,4,21_to_30.sok,4dc599ffaf64,True,2
42,21-30,4,21_to_30.sok,38697d0d403f,True,2
43,21-30,4,21_to_30.sok,85a0f571d988,True,2
44,21-30,5,21_to_30.sok,488ae448592d,True,2
45,31-50,7,41_to_50.sok,bbfc723ce76c,True,2
46,31-50,5,41_to_50.sok,0c3e5224da8e,True,2
47,31-50,2,31_to_40.sok,496cce7d41ef,True,2
48,31-50,7,41_to_50.sok,9ca1ef466337,True,2
49,31-50,5,31_to_40.sok,fc73a2c1fbf5,True,2
50,31-50,5,41_to_50.sok,5dcfe1c4ff6a,True,2
51,31-50,5,41_to_50.sok,b26cb0b69c01,True,2
52,31-50,7,41_to_50.sok,6be4670590ce,True,2
53,31-50,6,41_to_50.sok,47f052dfaf7c,True,2
54,31-50,7,31_to_40.sok,6da4c42fb1f2,True,2
55,31-50,5,41_to_50.sok,cee31b5bf35a,True,2
56,31-50,4,31_to_40.sok,f3cda0f4baa9,True,2
57,31-50,5,41_to_50.sok,c08981bdf128,True,2
58,31-50,5,31_to_40.sok,0f2651694031,True,2
59,31-50,5,31_to_40.sok,5e79097be4d3,True,2
60,51-70,7,51_to_60.sok,efdd4f1f6485,True,2
61,51-70,7,61_to_70.sok,b6ae62f765e4,True,2
62,51-70,6,51_to_60.sok,447aecb48301,True,2
63,51-70,7,51_to_60.sok,c55d65bd55a7,True,2
64,51-70,5,61_to_70.sok,7914d16f955e,True,2
65,51-70,7,51_to_60.sok,01a4a66a77d3,True,2
66,51-70,7,51_to_60.sok,23ac01f1226d,True,2
67,51-70,7,61_to_70.sok,572e9265da9b,True,2
68,51-70,6,61_to_70.sok,b2a512a87a94,True,2
69,51-70,6,51_to_60.sok,80fa4f7fe0aa,True,2
70,51-70,6,51_to_60.sok,c3ccc934d786,True,2
71,51-70,5,61_to_70.sok,edad937abc3c,True,2
72,51-70,6,51_to_60.sok,24f8a94917cb,True,2
73,51-70,6,51_to_60.sok,4100780ac1fc,True,2
74,51-70,5,61_to_70.sok,e3f8bd1b9f55,True,2
