board_id,bucket,box_count,source_file,heuristic,rep,status,runtime_ms,pushes,expanded_nodes,total_children,effective_children,deadlocks
30,21-30,3,21_to_30.sok,manhattan,1,SOLVED,543.018,23,3090,37080,9684,4615
30,21-30,3,21_to_30.sok,hungarian,1,SOLVED,33.7494,23,180,2160,733,286
30,21-30,3,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
30,21-30,3,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
30,21-30,3,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
31,21-30,4,21_to_30.sok,manhattan,1,SOLVED,372.612,21,4238,67808,10654,3883
31,21-30,4,21_to_30.sok,hungarian,1,SOLVED,37.405,21,427,6832,1396,299
31,21-30,4,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
31,21-30,4,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
31,21-30,4,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
32,21-30,5,21_to_30.sok,manhattan,1,SOLVED,55.8572,24,836,16720,1334,847
32,21-30,5,21_to_30.sok,hungarian,1,SOLVED,32.8794,24,508,10160,909,519
32,21-30,5,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
32,21-30,5,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
32,21-30,5,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
33,21-30,4,21_to_30.sok,manhattan,1,SOLVED,24.1377,27,491,7856,763,446
33,21-30,4,21_to_30.sok,hungarian,1,SOLVED,20.025,27,349,5584,536,314
33,21-30,4,21_to_30.sok,neural_sequential,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
33,21-30,4,21_to_30.sok,neural_batched,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
33,21-30,4,21_to_30.sok,neural_batched_massive,1,UNKNOWN,-1.0,-1,-1,-1,-1,-1
